discardDate,seedRef,varietyName,trayType,discardTrays,discardQuantity,reason,notes,machine,human
2026-07-23,20260121-改良愛輝(THY104)-02,改良愛輝(THY104),128,2.6,332.8,補植余り,,,naoki
2026-07-23,20260107-おきなSP-01,おきなSP,128,4.4,563.2,補植余り,,,naoki
2026-07-23,20251225-改良愛輝(THY104)-01,改良愛輝(THY104),128,0.4,51.2,補植余り,,,naoki
2026-07-23,20251118-初夏9009-03,初夏9009,128,56.7,7257.6,補植余り,,,naoki
2026-07-23,20251103-ことみ-02,ことみ,128,99.1,12684.8,補植余り,,,naoki
2026-07-23,20251103-初夏9009-02,初夏9009,128,14.3,1830.4,補植余り,,,naoki
2026-07-23,20251103-ときめき-01,ときめき,128,4.9,627.2,補植余り,,,naoki
2026-07-23,20251101-ことみ-01,ことみ,128,2.3,294.4,補植余り,,,naoki
2026-07-23,20251031-初夏9009-01,初夏9009,128,20.8,2662.4,補植余り,,,naoki
2026-07-23,20251020-初夏ごろも-01,初夏ごろも,128,2,256,補植余り,,,naoki
2026-07-23,20250823-青龍345-01,青龍345,128,5,640,補植余り,,,naoki
2026-07-23,20250821-冬はるか(NC-393)-01,冬はるか(NC-393),128,36,4608,補植余り,,,naoki
2026-07-23,20250818-りくよう-02,りくよう,128,14,1792,補植余り,,,naoki
2026-07-23,20250816-YRあにき-01,YRあにき,128,2.5,320,補植余り,,,naoki
2026-07-23,20250711-はやとよ-01,はやとよ,128,1.5,192,補植余り,,,naoki
2026-07-23,20250711-夏ごろも-01,夏ごろも,128,8.3,1062.4,補植余り,,,naoki
2026-07-23,20250814-りくよう-01,りくよう,200,5,1000,補植余り,,,naoki
