id,field,variety,sowDate,planPlantDate,trayType,trayCount,assignedTrayCount,plants,source,memo
"2026-1","西七根","ないと","2026-07-18","2026-08-17","128","80","58","7424","自家は種",""
"2026-0","西七根","藍天","2026-07-16","2026-08-17","128","40","40","5120","自家は種",""
"2026-1","明輝(南・40a)","ないと","2026-07-18","2026-08-17","128","80","22","2816","自家は種",""
"2026-6","三角畑","風あすか","2026-07-20","2026-08-19","128","40","40","5120","自家は種",""
"2026-2","石神","藍天","2026-07-20","2026-08-19","128","80","39","4992","自家は種",""
"2026-2","長沢1","藍天","2026-07-20","2026-08-19","128","80","41","5248","自家は種",""
"2026-5","長沢2","YR888","2026-07-20","2026-08-19","128","80","9","1152","自家は種",""
"2026-5","長沢3","YR888","2026-07-20","2026-08-19","128","80","71","9088","自家は種",""
"2026-3","明輝(南・40a)","おかわり","2026-07-20","2026-08-19","128","20","20","2560","自家は種",""
"2026-4","明輝(南・40a)","ないと","2026-07-20","2026-08-19","128","80","80","10240","自家は種",""
"2026-7","明輝(南・40a)","なごみ","2026-07-20","2026-08-19","128","20","20","2560","自家は種","~7/20播種440枚"
"2026-9","しあわせ地蔵","YR888","2026-07-25","2026-08-24","128","152","110","14080","",""
"2026-8","看板前","ないと","2026-07-25","2026-08-24","128","228","31","3968","",""
"2026-8","三角畑","ないと","2026-07-25","2026-08-24","128","228","157","20096","",""
"2026-10","西天伯(20a)","レッドコメット(MKS-C901)","2026-07-27","2026-08-24","128","38","2","256","自家は種",""
"2026-9","長沢2","YR888","2026-07-25","2026-08-24","128","152","42","5376","",""
"2026-8","長沢2","ないと","2026-07-25","2026-08-24","128","228","32","4096","",""
"2026-10","野依台","レッドコメット(MKS-C901)","2026-07-27","2026-08-24","128","38","35","4480","自家は種",""
"2026-12","彩幸(南)","風あすか","2026-07-28","2026-08-27","128","76","17","2176","",""
"2026-12","三角畑(下)","風あすか","2026-07-28","2026-08-27","128","76","59","7552","",""
"2026-15","彩幸(南)","たいと","2026-07-30","2026-08-29","128","38","34","4352","",""
"2026-11","西天伯(20a)","レッドコメット(MKS-C901)","2026-07-27","2026-08-30","128","76","5","640","自家は種",""
"2026-11","赤沢東","レッドコメット(MKS-C901)","2026-07-27","2026-08-30","128","76","71","9088","自家は種",""
"2026-16","高田","CTみかさ","2026-08-01","2026-08-31","128","114","110","14080","",""
"2026-13","中学横","風あすか","2026-07-28","2026-08-31","128","152","35","4480","",""
"2026-13","中日新聞","風あすか","2026-07-28","2026-08-31","128","152","44","5632","",""
"2026-13","二回","風あすか","2026-07-28","2026-08-31","128","152","68","8704","",""
"2026-17","大清水","風あすか","2026-08-03","2026-09-02","200","96","18","3600","",""
"2026-17","大清水(西)","風あすか","2026-08-03","2026-09-02","200","96","45","9000","",""
"2026-17","大清水(北)","風あすか","2026-08-03","2026-09-02","200","96","30","6000","",""
"2026-14","西天伯(20a)","レッドコメット(MKS-C901)","2026-07-30","2026-09-03","128","76","76","9728","自家は種",""
"2026-21","王崎","CTみかさ","2026-08-05","2026-09-04","200","48","48","9600","",""
"2026-19","事業所(西・１)","藍宝ひかり","2026-08-05","2026-09-04","200","72","32","6400","",""
"2026-19","事業所(西・２)","藍宝ひかり","2026-08-05","2026-09-04","200","72","40","8000","",""
"2026-22","事業所(西・４)","たいと","2026-08-05","2026-09-04","200","48","26","5200","",""
"2026-22","事業所(西・5)","たいと","2026-08-05","2026-09-04","200","48","22","4400","",""
"2026-23","若松(排水機横)","たいと","2026-08-05","2026-09-04","128","152","34","4352","",""
"2026-23","西天伯(30a)","たいと","2026-08-05","2026-09-04","128","152","118","15104","",""
"2026-20","大清水","冬藍","2026-08-05","2026-09-04","200","72","72","14400","",""
