sowDate,variety,trayCount,trayType,spacingRow,spacingBed,planAreaPlan,planAreaCalc,daysToPlant,planPlantDate,harvestMonth,harvestPlanYM,harvestWeek,source,memo
"2026-07-16","藍天","40","128","34","60","1.00","1.06","30","2026-08-15","11","2026-11","1","自家は種",""
"2026-07-18","ないと","80","128","34","60","2.00","2.11","30","2026-08-17","11","2026-11","3","自家は種",""
"2026-07-20","藍天","80","128","34","60","2.00","2.11","30","2026-08-19","11","2026-11","2","自家は種",""
"2026-07-20","おかわり","40","128","34","60","1.00","1.06","30","2026-08-19","11","2026-11","3","自家は種",""
"2026-07-20","ないと","80","128","34","60","2.00","2.11","30","2026-08-19","11","2026-11","4","自家は種",""
"2026-07-20","YR888","80","128","34","60","2.00","2.11","30","2026-08-19","11","2026-11","4","自家は種",""
"2026-07-20","風あすか","40","128","34","60","1.00","1.06","30","2026-08-19","12","2026-12","3","自家は種",""
"2026-07-20","なごみ","40","128","34","60","","1.06","30","2026-08-19","","","","自家は種","~7/20播種440枚"
"2026-07-25","ないと","228","128","34","60","6.00","6.01","30","2026-08-24","12","2026-12","1","",""
"2026-07-25","YR888","152","128","34","60","4.00","4.01","30","2026-08-24","12","2026-12","1","",""
"2026-07-27","レッドコメット(MKS-C901)","38","128","34","60","1.00","1.00","28","2026-08-24","12","2026-12","4","自家は種",""
"2026-07-27","レッドコメット(MKS-C901)","76","128","34","60","2.00","2.00","34","2026-08-30","01","2027-01","1","自家は種",""
"2026-07-28","風あすか","76","128","34","60","2.00","2.00","30","2026-08-27","12","2026-12","4","",""
"2026-07-28","風あすか","152","128","34","60","4.00","4.01","34","2026-08-31","01","2027-01","1","",""
"2026-07-30","レッドコメット(MKS-C901)","76","128","34","60","2.00","2.00","35","2026-09-03","02","2027-02","1","自家は種",""
"2026-07-30","たいと","38","128","34","60","1.00","1.00","30","2026-08-29","12","2026-12","4","",""
"2026-08-01","CTみかさ","114","128","34","60","3.00","3.01","30","2026-08-31","12","2026-12","4","",""
"2026-08-03","風あすか","96","200","34","60","4.00","3.96","30","2026-09-02","01","2027-01","2","",""
"2026-08-03","風あすか","96","200","34","60","4.00","3.96","35","2026-09-07","01","2027-01","4","",""
"2026-08-05","藍宝ひかり","72","200","34","60","3.00","2.97","30","2026-09-04","12","2026-12","3","",""
"2026-08-05","冬藍","72","200","34","60","3.00","2.97","30","2026-09-04","01","2027-01","1","",""
"2026-08-05","CTみかさ","48","200","34","60","2.00","1.98","30","2026-09-04","01","2027-01","1","",""
"2026-08-05","たいと","48","200","34","60","2.00","1.98","30","2026-09-04","01","2027-01","3","",""
"2026-08-05","たいと","152","128","34","60","4.00","4.01","30","2026-09-04","02","2027-02","3","",""
"2026-08-06","みぞれ雪","80","128","34","60","2.00","2.11","30","2026-09-05","01","2027-01","4","",""
"2026-08-08","そらと","134","200","34","60","5.45","5.52","30","2026-09-07","03","2027-03","3","",""
"2026-08-08","N-831","120","128","34","60","3.18","3.17","30","2026-09-07","02","2027-02","4","",""
"2026-08-10","N-831","156","128","34","60","4.09","4.11","33","2026-09-12","03","2027-03","1","",""
"2026-08-10","TS-C2010","104","128","34","60","2.73","2.74","30","2026-09-09","03","2027-03","2","",""
"2026-08-10","みぞれ雪","40","128","34","60","1.00","1.06","30","2026-09-09","02","2027-02","3","",""
"2026-08-10","N-831","142","200","34","60","5.91","5.85","30","2026-09-09","02","2027-02","3","",""
"2026-08-10","TS-C2010","38","128","34","60","1.00","1.00","27","2026-09-06","02","2027-02","4","",""
"2026-08-12","風あすか","65","200","34","60","2.50","2.68","30","2026-09-11","02","2027-02","1","",""
"2026-08-14","りくよう","80","200","34","60","3.64","3.30","30","2026-09-13","04","2027-04","4","自家は種","24基/10a"
"2026-08-16","風あすか","62","200","34","60","2.50","2.56","30","2026-09-15","02","2027-02","2","自家は種",""
"2026-08-17","冬親方","48","200","34","60","2.50","1.98","23","2026-09-09","03","2027-03","3","",""
"2026-08-17","N-831","100","200","34","60","4.09","4.12","30","2026-09-16","03","2027-03","1","",""
"2026-08-17","冬五郎","62","200","34","60","2.50","2.56","30","2026-09-16","03","2027-03","4","",""
"2026-08-19","りくよう","130","128","34","60","3.64","3.43","30","2026-09-18","04","2027-04","4","","24基/10a"
"2026-08-19","冬勝利","130","128","34","60","3.64","3.43","30","2026-09-18","04","2027-04","1","","24基/10a"
"2026-08-20","N-831","130","128","34","60","3.64","3.43","30","2026-09-19","04","2027-04","1","","24基/10a"
"2026-08-20","そらと","80","128","34","60","2.27","2.11","30","2026-09-19","04","2027-04","1","","24基/10a"
"2026-08-20","YRたかみね","110","128","34","60","3.18","2.90","30","2026-09-19","04","2027-04","2","","24基/10a"
"2026-08-22","青龍345","65","128","34","60","1.82","1.71","31","2026-09-22","04","2027-04","3","",""
"2026-10-30","ことみ","0","","34","60","","","","","05","2027-05","2","",""
"2026-10-30","初夏9009","0","","34","60","","","","","05","2027-05","3","",""
"2026-10-30","ときめき","0","","34","60","","","","","05","2027-05","3","",""
"2026-10-30","初恋","0","","34","60","","","","","05","2027-05","4","",""
"2026-11-30","初恋","0","","34","60","","","","","06","2027-06","1","",""
"2026-11-30","おきなSP","0","","34","60","","","","","06","2027-06","2","",""
"2026-11-30","恋舞","0","","34","60","","","","","06","2027-06","2","",""
"2026-11-30","改良愛輝(THY104)","0","","34","60","","","","","06","2027-06","3","",""
