shippingDate,field,bins,totalWeight,notes,plantingRef,machine,human

2024-10-28,三角畑,8,2383,,20240811-三角畑-藍天,machine1,naoki
2024-10-30,三角畑,4,1211,,20240811-三角畑-藍天,machine1,naoki
2024-10-31,三角畑,8,2427,,20240811-三角畑-藍天,machine1,naoki
2024-11-04,三角畑,8,2412,,20240811-三角畑-藍天,machine1,naoki
2024-11-06,三角畑,12,3496,,20240811-三角畑-藍天,machine1,naoki
2024-11-07,三角畑,12,3482,,20240811-三角畑-藍天,machine1,naoki
2024-11-08,三角畑,8,2351,,20240816-三角畑-藍天,machine1,naoki
2024-11-10,三角畑,6,1861,,20240816-三角畑-藍天,machine1,naoki
2024-11-13,三角畑,12,3779,,20240816-三角畑-藍天,machine1,naoki
2024-11-15,三角畑,1.5,497.25,,20240816-三角畑-藍天,machine1,naoki
2024-11-15,浜中,6.5,2122.25,,20240818-浜中-ロイド(C-147 ),machine1,naoki
2024-11-17,浜(小),4,1192,,20240818-浜(小)-YRしぶき,machine1,naoki
2024-11-18,浜(小),6,1841,,20240818-浜(小)-YRしぶき,machine1,naoki
2024-11-18,浜(大),2,597,,20240818-浜(大)-YRしぶき,machine1,naoki
2024-11-20,浜(大),10,3136,,20240818-浜(大)-YRしぶき,machine1,naoki
2024-11-21,浜(大),8,2484,,20240818-浜(大)-YRしぶき,machine1,naoki
2024-11-21,浜(小),1,312.5,,20240818-浜(小)-藍天,machine1,naoki
2024-11-21,バラ南,1,312.5,,20240820-バラ南-ロイド(C-147 ),machine1,naoki
2024-11-24,バラ南,12,3925,,20240820-バラ南-ロイド(C-147 ),machine1,naoki
2024-11-25,バラ南,1,311.5,,20240820-バラ南-ロイド(C-147 ),machine1,naoki
2024-11-25,若松(排水機横),8,2486,,20240816-若松(排水機横)-藍天,machine1,naoki
2024-11-25,ハウス跡(上),1,305.5,,20240823-ハウス跡(上)-ないと,machine1,naoki
2024-11-25,ハウス跡(上),2,611,,20240823-ハウス跡(上)-ないと,machine1,naoki
2024-11-28,赤沢(上),6,1570,,20240821-赤沢(上)-YCRきよまさ(C-135),machine1,naoki
2024-12-02,赤沢(上),8,2011,,20240821-赤沢(上)-YCRきよまさ(C-135),machine1,naoki
2024-12-04,赤沢(上),4,1037,,20240821-赤沢(上)-YCRきよまさ(C-135),machine1,naoki
2024-12-05,赤沢(上),4,1037,,20240821-赤沢(上)-YCRきよまさ(C-135),machine1,naoki
2024-12-05,大清水,6,1730,,20240822-大清水-ないと,machine1,naoki
2024-12-08,大清水,12,3440,,20240822-大清水-ないと,machine1,naoki
2024-12-11,大清水,12,3461,,20240822-大清水-ないと,machine1,naoki
2024-12-12,大清水,6,1718,,20240822-大清水-ないと,machine1,naoki
2024-12-13,大清水,12,3522,,20240822-大清水-ないと,machine1,naoki
2024-12-15,大清水,20,5812,,20240822-大清水-ないと,machine1,naoki
2024-12-16,大清水,7.5,2215.5,,20240822-大清水-ないと,machine1,naoki
2024-12-16,ハウス跡(上),12.5,3715.5,,20240823-ハウス跡(上)-ないと,machine1,naoki
2024-12-18,ハウス跡(上),1.5,461.25,,20240823-ハウス跡(上)-ないと,machine1,naoki
2024-12-18,ハウス跡(下),13.5,4125.75,,20240823-ハウス跡(下)-ないと,machine1,naoki
2024-12-18,ハウス跡(下),1.5,457.25,,20240823-ハウス跡(下)-YR888,machine1,naoki
2024-12-18,事業所(東・上),3.5,1043.75,,20240904-事業所(東・上)-YR888,machine1,naoki
2024-12-19,事業所(東・上),14,4077,,20240904-事業所(東・上)-YR888,machine1,naoki
